shelter name,city,state,address,website,phone
Downtown Rescue Mission,Athens,alabama,"1400 Evangel Drive, Huntsville, AL 35816",https://www.downtownrescuemission.org/,256-536-2441
,Atmore,alabama,",",,
The Love Center,Attalla,alabama,"915 S 12th Street, Gadsden, AL 35901",,
Thirteenth Place Youth Shelter,Attalla,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Salvation Army Gadsden Homeless Shelter And Services,Attalla,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Big Oak Ranch Boys,Attalla,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Albertville Downtown Rescue Mission,Attalla,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
Big Oak ranch Girls Facility,Attalla,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
A House of Refuge,Attalla,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Salvation Army Domestic Violence and Womens Shelter,Attalla,alabama,"PO Box 218, Anniston, AL 36202",,(256) 236-5644
Salvation Army Anniston  Emergency Services,Attalla,alabama,"420 Noble Street, Anniston, AL 36201",,236-5644
Harvest Evangelism,Auburn,alabama,"2510 Pepperell Pkwy, Opelika, AL 36801",http://harvestevangelism.org/,(334) 742-0777
His Place - Homeless Services and Substance Abuse Services,Auburn,alabama,"1415 2nd Avenue, Opelika, AL 36801",http://harvestevangelism.org,334-742-0777
BRIDGES shelter for Teen Girls,Auburn,alabama,"206 East Oak Street, Tuskegee, AL 36083",,
Hope's Inn For Single Mothers,Auburn,alabama,"PO Box 145, Lafayette, AL 36862",,334-864-0890
The Shoulder Rehab For Men,Bay Minette,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Waterfront Rescue Mission of Alabama,Bay Minette,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Salvation Army Mobile - Dauphin Way Lodge,Bay Minette,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Family Promise of Coastal Alabama Mobile,Bay Minette,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Taking it By Force Women's Weekend Shelter,Bay Minette,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
McKemie Place,Bay Minette,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Housing First The Homeless Coalition,Bay Minette,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
Housing First The Homeless Coalition,Bayou La Batre,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
Mission of Hope For Men and Women,Bayou La Batre,alabama,"14970 Mission Road, Mobile, AL 36608",http://www.missionofhopeministries.net,
McKemie Place,Bayou La Batre,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Family Promise of Coastal Alabama Mobile,Bayou La Batre,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Salvation Army Mobile - Dauphin Way Lodge,Bayou La Batre,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Waterfront Rescue Mission of Alabama,Bayou La Batre,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
The Shoulder Rehab For Men,Bayou La Batre,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Taking it By Force Women's Weekend Shelter,Bayou La Batre,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
Foundry Ministries,Bessemer,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Catholic Center of Concern,Bessemer,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Jimmie Hale Mission,Bessemer,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Hannah Bethany Home - Womens Homeless Shelter,Bessemer,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Bread and Roses Hospitality House,Bessemer,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Fellowship House,Bessemer,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Hope House Residential Youth Shelter,Bessemer,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
The Firehouse Shelter,Bessemer,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Bridge Ministries - Homeless Families with Children,Bessemer,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Brother Bryan Mission,Bessemer,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
Aletheia House,Bessemer,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Birmingham PATH Center,Bessemer,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Bessemer,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
First Light Women Childrens Shelter and Services,Bessemer,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Jimmie Hale Mission Shelter - Shepura Mens Center,Bessemer,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
First Light,Bessemer,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Jessies Place - Homeless Shelter for Women and Children,Bessemer,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
Changed Lives Christian Center,Bessemer,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Salvation Army of Greater Birmingham Emergency Housing,Bessemer,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Priority Veteran Birmingham,Bessemer,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Bessemer,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Community Kitchens of Birmingham,Bessemer,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Bessemer,alabama,"140 58th St N, Birmingham, AL 35212",,
YWCA Interfaith Hospitality House for Families,Bessemer,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
The Lovelady Center,Bessemer,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Clay Veterans Center,Bessemer,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Dent Transitional Program,Bessemer,alabama,"15769 Thomas Chapel Road, Cottondale, AL 35453",http://tracydentfoundation.pledgepage.org,(205) 246-5655
Pathways - For Women,Birmingham,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Birmingham PATH Center,Birmingham,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
First Light Women Childrens Shelter and Services,Birmingham,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Jessies Place - Homeless Shelter for Women and Children,Birmingham,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
First Light,Birmingham,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Hope House Residential Youth Shelter,Birmingham,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Jimmie Hale Mission Shelter - Shepura Mens Center,Birmingham,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Brother Bryan Mission,Birmingham,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Birmingham,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Jimmie Hale Mission,Birmingham,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Salvation Army of Greater Birmingham Emergency Housing,Birmingham,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Changed Lives Christian Center,Birmingham,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Aletheia House,Birmingham,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Bridge Ministries - Homeless Families with Children,Birmingham,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Fellowship House,Birmingham,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Priority Veteran Birmingham,Birmingham,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Bread and Roses Hospitality House,Birmingham,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Catholic Center of Concern,Birmingham,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Hannah Bethany Home - Womens Homeless Shelter,Birmingham,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Community Kitchens of Birmingham,Birmingham,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Birmingham,alabama,"140 58th St N, Birmingham, AL 35212",,
YWCA Interfaith Hospitality House for Families,Birmingham,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Birmingham,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
The Lovelady Center,Birmingham,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Foundry Ministries,Birmingham,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Clay Veterans Center,Birmingham,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Albertville Downtown Rescue Mission,Boaz,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
The Salvation Army Gadsden Homeless Shelter And Services,Boaz,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Thirteenth Place Youth Shelter,Boaz,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Love Center,Boaz,alabama,"915 S 12th Street, Gadsden, AL 35901",,
A House of Refuge,Boaz,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Big Oak Ranch Boys,Boaz,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Big Oak ranch Girls Facility,Boaz,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Dent Transitional Program,Brent,alabama,"15769 Thomas Chapel Road, Cottondale, AL 35453",http://tracydentfoundation.pledgepage.org,(205) 246-5655
Tuscaloosa VA Medical Center Homeless Services,Brent,alabama,"3701 Loop Road East, Tuscaloosa, AL 35404",,205-554-2000
Salvation Army Tuscaloosa,Brent,alabama,"2902 Greensboro Avenue, Tuscaloosa, AL 35403",,205-345-6939
Community Soup Bowl,Brent,alabama,"1711 23rd Ave, Tuscaloosa, AL 35401",http://tuscaloosasoupbowl.com/,
,Brewton,alabama,",",,
Foundry Ministries,Calera,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Hannah Bethany Home - Womens Homeless Shelter,Calera,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Bread and Roses Hospitality House,Calera,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Fellowship House,Calera,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Bridge Ministries - Homeless Families with Children,Calera,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
,Camden,alabama,",",,
Clay Veterans Center,Center Point,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
The Lovelady Center,Center Point,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
YWCA Interfaith Hospitality House for Families,Center Point,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
The Lighthouse for Recovery Ministries,Center Point,alabama,"140 58th St N, Birmingham, AL 35212",,
Community Kitchens of Birmingham,Center Point,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Center Point,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Priority Veteran Birmingham,Center Point,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Salvation Army of Greater Birmingham Emergency Housing,Center Point,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Jessies Place - Homeless Shelter for Women and Children,Center Point,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
First Light,Center Point,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Jimmie Hale Mission Shelter - Shepura Mens Center,Center Point,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
First Light Women Childrens Shelter and Services,Center Point,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Changed Lives Christian Center,Center Point,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Pathways - For Women,Center Point,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Birmingham PATH Center,Center Point,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Aletheia House,Center Point,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Brother Bryan Mission,Center Point,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Center Point,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Hope House Residential Youth Shelter,Center Point,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Bridge Ministries - Homeless Families with Children,Center Point,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Fellowship House,Center Point,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Jimmie Hale Mission,Center Point,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Bread and Roses Hospitality House,Center Point,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hannah Bethany Home - Womens Homeless Shelter,Center Point,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Catholic Center of Concern,Center Point,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Big Oak ranch Girls Facility,Center Point,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Foundry Ministries,Center Point,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
A House of Refuge,Center Point,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Presbyterian Home for Children,Childersburg,alabama,"905 Ashland Highway, Talladega, AL 35160",,
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Childersburg,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
The Lovelady Center,Childersburg,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
YWCA Interfaith Hospitality House for Families,Childersburg,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Community Kitchens of Birmingham,Childersburg,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Childersburg,alabama,"140 58th St N, Birmingham, AL 35212",,
Clay Veterans Center,Childersburg,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
,Clanton,alabama,",",,
Albertville Downtown Rescue Mission,Collinsville,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
The Salvation Army Gadsden Homeless Shelter And Services,Collinsville,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Thirteenth Place Youth Shelter,Collinsville,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Love Center,Collinsville,alabama,"915 S 12th Street, Gadsden, AL 35901",,
Big Oak Ranch Boys,Collinsville,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Tuscaloosa VA Medical Center Homeless Services,Cottondale,alabama,"3701 Loop Road East, Tuscaloosa, AL 35404",,205-554-2000
Salvation Army Tuscaloosa,Cottondale,alabama,"2902 Greensboro Avenue, Tuscaloosa, AL 35403",,205-345-6939
Community Soup Bowl,Cottondale,alabama,"1711 23rd Ave, Tuscaloosa, AL 35401",http://tuscaloosasoupbowl.com/,
Jesus Way Homeless Shelter,Cottondale,alabama,"2681 24th Street, Tuscaloosa, AL 35401",,205-759-9771
Dent Transitional Program,Cottondale,alabama,"15769 Thomas Chapel Road, Cottondale, AL 35453",http://tracydentfoundation.pledgepage.org,(205) 246-5655
A House of Refuge,Cullman,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
The Shoulder Rehab For Men,Daphne,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
McKemie Place,Daphne,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Salvation Army Mobile - Dauphin Way Lodge,Daphne,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Waterfront Rescue Mission of Alabama,Daphne,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Family Promise of Coastal Alabama Mobile,Daphne,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Housing First The Homeless Coalition,Daphne,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
Taking it By Force Women's Weekend Shelter,Daphne,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
Family Promise of Baldwin County Homeless Services,Daphne,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
Salvation Army Foley Alabama,Daphne,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
Mary's Shelter Gulf Coast,Daphne,alabama,"14001 Boros Rd, Elberta, AL 36530",,
Women In Crisis Homeless Shelter Inc.,Daphne,alabama,"9030 Broadus Loop Rd., Eight Mile, AL 36613",,
Salvation Army Center of Hope Decatur,Decatur,alabama,"114 14th St SW, Decatur, AL 35601",http://salvationarmyalm.org/decatur/center-of-hope/,256-353-2822
Tennessee Valley Outreach Mission,Decatur,alabama,"2117 Old Moulton Heights Road, Decatur, AL 35602",http://www.tennesseevalleyoutreach.org/,
New Futures Family Lodge Huntsville,Decatur,alabama,"5429 Oakwood Rd, Huntsville, AL 35806",,
Downtown Rescue Mission,Decatur,alabama,"1400 Evangel Drive, Huntsville, AL 35816",https://www.downtownrescuemission.org/,256-536-2441
The Salvation Army Huntsville Emergency Shelter and Lodge,Decatur,alabama,"305 Seminole, Huntsville, AL 35805",http://salvationarmyalm.org/huntsville/,256-536-8876
The Studio Shelter and Services,Decatur,alabama,"1001 Oakwood Avenue, Huntsville, AL 35801",https://hmcpl.org/community/studio-shelter-and-services,256-489-8088
,Demopolis,alabama,",",,
Momma Tina's Mission House - TOPS,Dothan,alabama,"605 N. Alice Street, Dothan, AL 36303",,
Dothan Rescue Mission - Women's Lodge,Dothan,alabama,"209 East Washington Street, Dothan, AL 36301",http://dothanrescuemission.com/,
Dothan Rescue Mission - Men's Lodge,Dothan,alabama,"216 East Crawford Street, Dothan, AL 36301",http://dothanrescuemission.com/,
Dale County Rescue Mission,Dothan,alabama,"182 Martin St, Ozark, AL 36360",,
Taking it By Force Women's Weekend Shelter,Eight Mile,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
Housing First The Homeless Coalition,Eight Mile,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
Family Promise of Coastal Alabama Mobile,Eight Mile,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Waterfront Rescue Mission of Alabama,Eight Mile,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Salvation Army Mobile - Dauphin Way Lodge,Eight Mile,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
McKemie Place,Eight Mile,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Women In Crisis Homeless Shelter Inc.,Eight Mile,alabama,"9030 Broadus Loop Rd., Eight Mile, AL 36613",,
The Shoulder Rehab For Men,Eight Mile,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Mission of Hope For Men and Women,Eight Mile,alabama,"14970 Mission Road, Mobile, AL 36608",http://www.missionofhopeministries.net,
Christian Mission Bargain Center Shelter and Services Elba,Elba,alabama,"342 North Court Street, Elba, AL 36323",,
Ground Zero Rescue Mission,Elba,alabama,"181 Geneva Hwy, Enterprise, AL 36330",,334-475-3220
Christian Mission Centers,Elba,alabama,"307 North Main Street, Enterprise, AL 36330",http://www.christmissions.org/,
Christian Mission Bargain Center Shelter and Services Troy,Elba,alabama,"104 Pecan Street, Troy, AL 36081",,
Christian Mission Bargain Center Shelter and Services Geneva,Elba,alabama,"801 East Town Avenue, Geneva, AL 36340",,
Mary's Shelter Gulf Coast,Elberta,alabama,"14001 Boros Rd, Elberta, AL 36530",,
Salvation Army Foley Alabama,Elberta,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
Family Promise of Baldwin County Homeless Services,Elberta,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
Victory House Ministries,Elberta,alabama,"6200 West Fairfield Drive, Pensacola, FL 32506",,
Curry House,Elberta,alabama,"4610 West Fairfield DR, Pensacola, FL 32505",,(850)453-2772
Women and Children Cold Weather Shelter,Elberta,alabama,"50 W Johnson Ave, Pensacola, FL 32534",https://www.ensleyfbc.org/,850-476-2221
Heavenly Blessings Mission,Elberta,alabama,"1614 North T Street, Pensacola, FL 32505",,
Salvation Army Lodge,Elberta,alabama,"1310 North S Street, Pensacola, FL 32505",http://www.uss.salvationarmy.org/uss/www_uss_pensacola.nsf,(850)432-1579
Alfred Washburn Center,Elberta,alabama,"31 Murphy Lane, Pensacola, FL 32505",,
The Waterfront Rescue Mission,Elberta,alabama,"380 W. Herman Street, Pensacola, FL 32505",https://waterfrontmission.org/,850.478.4027
Loaves and Fishes,Elberta,alabama,"257 East Lane St, Pensacola, FL 32501",,
Harbor House Group Home,Elberta,alabama,"7801 N Hilburn Road, Pensacola, FL 32514",http://www.harborhousegroupinc.org/,(850) 473-9603
M-Power House - Youth shelter ages: 16 to 21 years,Elberta,alabama,"Private location, Pensacola , FL 32503",https://www.chsfl.org/,850 266-2719
Christian Mission Centers,Enterprise,alabama,"307 North Main Street, Enterprise, AL 36330",http://www.christmissions.org/,
Ground Zero Rescue Mission,Enterprise,alabama,"181 Geneva Hwy, Enterprise, AL 36330",,334-475-3220
